"","status","base_uri","cycle","copyright","results.slug","results.candidate_name","results.name","results.party","results.committee","results.committee_id","results.total_receipts","results.total_disbursements","results.cash_on_hand","results.date_coverage_to","results.date_coverage_from","results.candidate_id","results.contributions_less_than_200","results.contributions_200_499","results.contributions_500_1499","results.contributions_1500_2699","results.contributions_max","results.net_primary","results.net_primary_pct","results.contributions_less_than_200_pct","results.contributions_max_pct","results.burn_rate","results.total_contributions"
"1","OK","https://api.propublica.org/campaign-finance/v1/2016/","2016","Copyright (c) 2016 ProPublica Inc. All Rights Reserved.","clinton","Clinton, Hillary","Hillary Clinton","D","committees/C00575795.json","C00575795","130443636.88","97505073.13","32938563.75","2016-01-31","2015-04-01","P00003392","29087795.39","5857150.04","16946235.39","9493151.81","64276200","29853779.28","22.9","23.6","52","133.865474973585","123508074.19"
"2","OK","https://api.propublica.org/campaign-finance/v1/2016/","2016","Copyright (c) 2016 ProPublica Inc. All Rights Reserved.","sanders","Sanders, Bernie","Bernie Sanders","D","committees/C00577130.json","C00577130","96311423.16","81649471.83","14661951.33","2016-01-31","2015-04-01","P60007168","90804229.57","9097550.09","11026236.94","1838637.44","1163700","14661951.33","15.2","95.8","1.2","164.086058528034","94767308.31"
"3","OK","https://api.propublica.org/campaign-finance/v1/2016/","2016","Copyright (c) 2016 ProPublica Inc. All Rights Reserved.","carson","Carson, Ben","Ben Carson","R","committees/C00573519.json","C00573519","57860504.68","53713833.7","4146670.98","2016-01-31","2015-01-01","P60005915","42031976.15","4443431.62","7027356.21","1165869.13","1876500","3492459.34","6","73.3","3.3","163.311797757635","57332256.23"
"4","OK","https://api.propublica.org/campaign-finance/v1/2016/","2016","Copyright (c) 2016 ProPublica Inc. All Rights Reserved.","cruz","Cruz, Ted","Ted Cruz","R","committees/C00574624.json","C00574624","54661505.54","41016086.21","13645419.33","2016-01-31","2015-01-01","P60006111","32708965.32","4505478.73","6280470.11","1808821.79","5791500","10264560.26","18.8","60.1","10.6","167.189588226027","54397987.7"
"5","OK","https://api.propublica.org/campaign-finance/v1/2016/","2016","Copyright (c) 2016 ProPublica Inc. All Rights Reserved.","rubio","Rubio, Marco","Marco Rubio","R","committees/C00458844.json","C00458844","44465097.6","39951210.45","5055406.64","2016-01-31","2015-04-01","P60006723","8373761.79","1817195.9","6195844.73","3491965.99","11529000","2476062.47","5.6","20.3","27.9","208.1055798159","41315312.2"
"6","OK","https://api.propublica.org/campaign-finance/v1/2016/","2016","Copyright (c) 2016 ProPublica Inc. All Rights Reserved.","bush","Bush, Jeb","Jeb Bush","R","committees/C00579458.json","C00579458","33512523.71","30632057.51","2880466.2","2016-01-31","2015-04-01","P60008059","2222391.62","638827.3","4267673.58","1842147.44","23166000","2355614.9","7","6.6","69.3","396.109232743895","33436224.41"
"7","OK","https://api.propublica.org/campaign-finance/v1/2016/","2016","Copyright (c) 2016 ProPublica Inc. All Rights Reserved.","trump","Trump, Donald J.","Donald J. Trump","R","committees/C00580100.json","C00580100","25526319.03","23941598.06","1584720.97","2016-01-31","2015-04-02","P80001571","5843643.39","516519.64","494139.01","53142.33","499500","1544473.61","6.1","75.4","6.4","187.886198408059","7748361.08"
"8","OK","https://api.propublica.org/campaign-finance/v1/2016/","2016","Copyright (c) 2016 ProPublica Inc. All Rights Reserved.","paul","Paul, Rand","Rand Paul","R","committees/C00575449.json","C00575449","12158051.92","11303910.31","854141.61","2016-01-31","2015-04-01","P40003576","6606257.01","1015529.14","1680058.39","870042.96","1323000","329051.57","2.7","64.9","13","165.130114086638","10183302.01"
"9","OK","https://api.propublica.org/campaign-finance/v1/2016/","2016","Copyright (c) 2016 ProPublica Inc. All Rights Reserved.","fiorina","Fiorina, Carly","Carly Fiorina","R","committees/C00577312.json","C00577312","11848449.68","8490693.38","3357756.3","2016-01-31","2015-04-01","P60007242","6643789.21","623270.89","2219554.84","536316.61","1557900","3332981.3","28.1","56.1","13.2","325.58398230268","11837186.66"
"10","OK","https://api.propublica.org/campaign-finance/v1/2016/","2016","Copyright (c) 2016 ProPublica Inc. All Rights Reserved.","kasich","Kasich, John","John Kasich","R","committees/C00581876.json","C00581876","8648889.74","7172247.38","1476642.36","2016-01-31","2015-07-01","P60003670","1052399.96","330774","1367064.5","652743.59","4935600","1264920.56","14.6","12.2","57.1","199.449927516929","8638795.67"
"11","OK","https://api.propublica.org/campaign-finance/v1/2016/","2016","Copyright (c) 2016 ProPublica Inc. All Rights Reserved.","walker","Walker, Scott","Scott Walker","R","committees/C00580480.json","C00580480","8076154.73","7996957.57","79197.16","2016-01-31","2015-06-17","P60006046","2929331.6","445283.5","1232583.38","297772.4","2238300","-173182.84","-2.1","36.8","28.1","172.518644684824","7960210.46"
"12","OK","https://api.propublica.org/campaign-finance/v1/2016/","2016","Copyright (c) 2016 ProPublica Inc. All Rights Reserved.","christie","Christie, Chris","Chris Christie","R","committees/C00580399.json","C00580399","7995895.07","7254220.65","741674.42","2016-01-31","2015-07-01","P60008521","428647.64","133237.11","1129483.04","659355.38","5381100","741674.42","9.3","5.4","67.3","145.959735195176","7995075.01"
"13","OK","https://api.propublica.org/campaign-finance/v1/2016/","2016","Copyright (c) 2016 ProPublica Inc. All Rights Reserved.","omalley","O'Malley, Martin","Martin O'Malley","D","committees/C00578658.json","C00578658","6035528.14","5859473.2","176054.94","2016-01-31","2015-04-01","P60007671","611001.02","267794","1106002.58","376055","2052000","176054.94","2.9","13.5","45.3","99.4683188385908","4532347.1"
"14","OK","https://api.propublica.org/campaign-finance/v1/2016/","2016","Copyright (c) 2016 ProPublica Inc. All Rights Reserved.","graham","Graham, Lindsey","Lindsey Graham","R","committees/C00578757.json","C00578757","5629462.5","5329045.96","300416.54","2016-01-31","2015-01-14","P60007697","319210.82","129907.2","833292.36","856485.56","1360800","60136.54","1.1","8.8","37.6","31150.0093003481","3621224.54"
"15","OK","https://api.propublica.org/campaign-finance/v1/2016/","2016","Copyright (c) 2016 ProPublica Inc. All Rights Reserved.","huckabee","Huckabee, Mike","Mike Huckabee","R","committees/C00577981.json","C00577981","4114116.27","4075072.66","39043.61","2016-01-31","2015-04-01","P80003478","1932747.19","185680.01","629565.66","399762.72","801900","39043.61","0.9","47","19.5","155.085366884385","4113109.17"
